Date,EventName,Location,EventType,ImpactLevel
2024-05-01,CityA Festival,CityA,Festival,High
2024-05-02,Tech Conference,CityB,Conference,Medium
2024-05-03,Art Expo,CityC,Exhibition,Low
2024-05-04,Music Concert,CityD,Concert,High
2024-05-05,Food Carnival,CityE,Carnival,Medium
2024-05-06,Marathon,CityF,Sport,High
2024-05-07,Film Festival,CityA,Festival,High
2024-05-08,Business Summit,CityB,Conference,High
2024-05-09,Local Fair,CityC,Fair,Low
2024-05-10,Book Expo,CityD,Exhibition,Medium
2024-05-11,CityA Festival,CityA,Festival,High
2024-05-12,Tech Conference,CityB,Conference,Medium
2024-05-13,Art Expo,CityC,Exhibition,Low
2024-05-14,Music Concert,CityD,Concert,High
2024-05-15,Food Carnival,CityE,Carnival,Medium
2024-05-16,Marathon,CityF,Sport,High
2024-05-17,Film Festival,CityA,Festival,High
2024-05-18,Business Summit,CityB,Conference,High
2024-05-19,Local Fair,CityC,Fair,Low
2024-05-20,Book Expo,CityD,Exhibition,Medium
2024-05-21,CityA Festival,CityA,Festival,High
2024-05-22,Tech Conference,CityB,Conference,Medium
2024-05-23,Art Expo,CityC,Exhibition,Low
2024-05-24,Music Concert,CityD,Concert,High
2024-05-25,Food Carnival,CityE,Carnival,Medium
2024-05-26,Marathon,CityF,Sport,High
2024-05-27,Film Festival,CityA,Festival,High
2024-05-28,Business Summit,CityB,Conference,High
2024-05-29,Local Fair,CityC,Fair,Low
2024-05-30,Book Expo,CityD,Exhibition,Medium
2024-05-31,CityA Festival,CityA,Festival,High
2024-06-01,Tech Conference,CityB,Conference,Medium
2024-06-02,Art Expo,CityC,Exhibition,Low
2024-06-03,Music Concert,CityD,Concert,High
2024-06-04,Food Carnival,CityE,Carnival,Medium
2024-06-05,Marathon,CityF,Sport,High
2024-06-06,Film Festival,CityA,Festival,High
2024-06-07,Business Summit,CityB,Conference,High
2024-06-08,Local Fair,CityC,Fair,Low
2024-06-09,Book Expo,CityD,Exhibition,Medium
2024-06-10,CityA Festival,CityA,Festival,High
2024-06-11,Tech Conference,CityB,Conference,Medium
2024-06-12,Art Expo,CityC,Exhibition,Low
2024-06-13,Music Concert,CityD,Concert,High
2024-06-14,Food Carnival,CityE,Carnival,Medium
2024-06-15,Marathon,CityF,Sport,High
2024-06-16,Film Festival,CityA,Festival,High
2024-06-17,Business Summit,CityB,Conference,High
2024-06-18,Local Fair,CityC,Fair,Low
2024-06-19,Book Expo,CityD,Exhibition,Medium
